INSTANCE,VCPU,RAM,HOURLY ON DEMAND
EC32ads v5,32,192.0,2.368
EC48ads v5,48,384.0,3.552
EC64ads v5,64,512.0,4.736
EC96ads v5,96,672.0,7.104
EC96iads v5,96,672.0,7.814
EC2as v5,2,16.0,0.126
EC4as v5,4,32.0,0.252
EC8as v5,8,64.0,0.504
EC16as v5,16,128.0,1.008
EC20as v5,20,160.0,1.26
EC32as v5,32,192.0,2.016
EC48as v5,48,384.0,3.024
EC64as v5,64,512.0,4.032
EC96as v5,96,672.0,6.048
EC96ias v5,96,672.0,6.653
E2 v4,2,16.0,0.14
E4 v4,4,32.0,0.28
E8 v4,8,64.0,0.56
E16 v4,16,128.0,1.12
E32 v4,32,256.0,2.24
E48 v4,48,384.0,3.36
E64 v4,64,504.0,4.48
E2s v4,2,16.0,0.14
E4s v4,4,32.0,0.28
E8s v4,8,64.0,0.56
E16s v4,16,128.0,1.12
E20s v4,20,160.0,1.4
E32s v4,32,256.0,2.24
E48s v4,48,384.0,3.36
E64s v4,64,504.0,4.48
E80is v4,80,504.0,5.599
E2 v3,2,16.0,0.148
E4 v3,4,32.0,0.296
E8 v3,8,64.0,0.56
E16 v3,16,128.0,1.12
E20 v3,20,160.0,1.48
E32 v3,32,256.0,2.24
E48 v3,48,384.0,3.36
E64i v3,64,432.0,4.032
E64 v3,64,432.0,4.032
E2s v3,2,16.0,0.148
E4s v3,4,32.0,0.296
E8s v3,8,64.0,0.56
E16s v3,16,128.0,1.12
E20s v3,20,160.0,1.48
E32s v3,32,256.0,2.24
E48s v3,48,384.0,3.36
E64is v3,64,432.0,4.032
E64s v3,64,432.0,4.032
D11 v2,2,14.0,0.185
D12 v2,4,28.0,0.37
D13 v2,8,56.0,0.741
D14 v2,16,112.0,1.482
D15i v2,20,140.0,1.852
D15 v2,20,140.0,1.852
DS11 v2,2,14.0,0.185
DS12 v2,4,28.0,0.37
DS13 v2,8,56.0,0.741
DS14 v2,16,112.0,1.482
DS15i v2,20,140.0,1.852
DS15 v2,20,140.0,1.852
G1,2,28.0,0.61
G2,4,56.0,1.22
G3,8,112.0,2.44
G4,16,224.0,4.88
G5,32,448.0,8.69
Gs1,2,28.0,0.61
Gs2,4,56.0,1.22
Gs3,8,112.0,2.44
Gs4,16,224.0,4.88
Gs5,32,448.0,8.69
M8ms,8,218.8,1.997
M16ms,16,437.5,3.995
M32ts,32,192.0,3.016
M32ls,32,256.0,3.201
M32ms,32,875.0,7.99
M64ls,64,512.0,6.403
M64,64,1.0,8.67
M64s,64,1.0,8.67
M64ms,64,1.0,17.347
M64m,64,1.0,17.347
M128s,128,2.0,17.339
M128,128,2.0,17.339
M128ms,128,3.0,34.694
M128m,128,3.0,34.694
M32dms v2,32,875.0,7.99
M64ds v2,64,1.0,8.67
M64dms v2,64,1.0,13.442
M128ds v2,128,2.0,17.342
M128dms v2,128,3.0,34.697
M192ids v2,192,2.0,20.841
M192idms v2,192,4.0,41.683
M32ms v2,32,875.0,7.853
M64s v2,64,1.0,8.396
M64ms v2,64,1.0,13.168
M128s v2,128,2.0,16.795
M128ms v2,128,3.0,34.15
M192is v2,192,2.0,20.294
M192ims v2,192,4.0,41.136
M208s v2,208,2.0,29.003
M208ms v2,208,5.0,58.006
M416s v2,416,5.0,64.454
M416s_8_v2,416,7.0,66.11
M416ms v2,416,11.0,128.9
S96,96,768.0,
S192,192,2.0,
S192m,192,4.0,
S192xm,192,6.0,
S384,384,4.0,
S384m,384,6.0,
S384xm,384,8.0,
S384xxm,384,12.0,
S576m,576,12.0,
S32m,32,1.0,
S64m,64,3.0,
S224ooo,224,1.0,
S224oo,224,1.0,
S224om,224,3.0,
S224oom,224,3.0,
S224,224,3.0,
S224m,224,6.0,
S448oo,448,3.0,
S448ooo,448,3.0,
S448om,448,6.0,
S448oom,448,6.0,
S448,448,6.0,
S448m,448,12.0,
S672oo,672,4.0,
S672ooo,672,5.0,
S672om,672,9.0,
S672oom,672,9.0,
S672,672,9.0,
S672m,672,18.0,
S896oo,896,6.0,
S896ooo,896,7.0,
S896om,896,12.0,
S896oom,896,12.0,
S896,896,12.0,
S896m,896,24.0,
DS11-1 v2,2,14.0,0.185
DS12-1 v2,4,28.0,0.37
DS12-2 v2,4,28.0,0.37
E4-2ads v5,4,32.0,0.296
E4-2as v4,4,32.0,0.28
E4-2as v5,4,32.0,0.252
E4-2ds v4,4,32.0,0.324
E4-2ds v5,4,32.0,0.324
E4-2s v3,4,32.0,0.296
E4-2s v4,4,32.0,0.28
E4-2s v5,4,32.0,0.28
DS13-2 v2,8,56.0,0.741
DS13-4 v2,8,56.0,0.741
E8-2ads v5,8,64.0,0.592
E8-2as v4,8,64.0,0.56
E8-2as v5,8,64.0,0.504
E8-2ds v4,8,64.0,0.648
E8-2ds v5,8,64.0,0.648
E8-2s v3,8,64.0,0.56
E8-2s v4,8,64.0,0.56
E8-2s v5,8,64.0,0.56
E8-4ads v5,8,64.0,0.592
E8-4as v4,8,64.0,0.56
E8-4as v5,8,64.0,0.504
E8-4ds v4,8,64.0,0.648
E8-4ds v5,8,64.0,0.648
E8-4s v3,8,64.0,0.56
E8-4s v4,8,64.0,0.56
E8-4s v5,8,64.0,0.56
M8-2ms,8,218.8,1.997
M8-4ms,8,218.8,1.997
DS14-4 v2,16,112.0,1.482
DS14-8 v2,16,112.0,1.482
E16-4ads v5,16,128.0,1.184
E16-4as v4,16,128.0,1.12
E16-4as v5,16,128.0,1.008
E16-4ds v4,16,128.0,1.296
E16-4ds v5,16,128.0,1.296
E16-4s v3,16,128.0,1.12
E16-4s v4,16,128.0,1.12
E16-4s v5,16,128.0,1.12
E16-8ads v5,16,128.0,1.184
E16-8as v4,16,128.0,1.12
E16-8as v5,16,128.0,1.008
E16-8ds v4,16,128.0,1.296
E16-8ds v5,16,128.0,1.296
E16-8s v3,16,128.0,1.12
E16-8s v4,16,128.0,1.12
E16-8s v5,16,128.0,1.12
Gs4-4,16,224.0,4.88
