INSTANCE,VCPU,RAM,HOURLY ON DEMAND
r6i.2xlarge,8,64.0,0.5040 
c1.xlarge,8,7.0,0.5200 
r5ad.2xlarge,8,64.0,0.5240 
d3en.xlarge,4,16.0,0.5260 
g4dn.xlarge,4,16.0,0.5260 
r7i.2xlarge,8,64.0,0.5292 
m3.2xlarge,8,30.0,0.5320 
r4.2xlarge,8,61.0,0.5320 
g4ad.2xlarge,8,32.0,0.5412 
c6g.4xlarge,16,32.0,0.5440 
m5dn.2xlarge,8,32.0,0.5440 
r7gd.2xlarge,8,64.0,0.5443 
g5g.2xlarge,8,16.0,0.5560 
m6in.2xlarge,8,32.0,0.5569 
r5d.2xlarge,8,64.0,0.5760 
is4gen.xlarge,4,24.0,0.5763 
c7g.4xlarge,16,32.0,0.5800 
r5n.2xlarge,8,64.0,0.5960 
r5b.2xlarge,8,64.0,0.5960 
r6id.2xlarge,8,64.0,0.6048 
r7a.2xlarge,8,64.0,0.6086 
c6a.4xlarge,16,32.0,0.6120 
c6gd.4xlarge,16,32.0,0.6144 
c5a.4xlarge,16,32.0,0.6160 
m6g.4xlarge,16,64.0,0.6160 
i4g.2xlarge,8,64.0,0.6178 
i3.2xlarge,8,61.0,0.6240 
m6idn.2xlarge,8,32.0,0.6365 
g2.2xlarge,8,15.0,0.6500 
vt1.3xlarge,12,24.0,0.6500 
m7g.4xlarge,16,64.0,0.6528 
m5zn.2xlarge,8,32.0,0.6607 
r3.2xlarge,8,61.0,0.6650 
x2gd.2xlarge,8,128.0,0.6680 
r5dn.2xlarge,8,64.0,0.6680 
c5.4xlarge,16,32.0,0.6800 
c6i.4xlarge,16,32.0,0.6800 
i4i.2xlarge,8,64.0,0.6860 
m5a.4xlarge,16,64.0,0.6880 
c5ad.4xlarge,16,32.0,0.6880 
d2.xlarge,4,30.5,0.6900 
m6a.4xlarge,16,64.0,0.6912 
c6gn.4xlarge,16,32.0,0.6912 
r6in.2xlarge,8,64.0,0.6973 
c7i.4xlarge,16,32.0,0.7140 
m6gd.4xlarge,16,64.0,0.7232 
c7gd.4xlarge,16,32.0,0.7258 
im4gn.2xlarge,8,32.0,0.7276 
z1d.2xlarge,8,64.0,0.7440 
r7iz.2xlarge,8,64.0,0.7440 
g3s.xlarge,4,30.5,0.7500 
g4dn.2xlarge,8,32.0,0.7520 
inf2.xlarge,4,16.0,0.7582 
m7i-flex.4xlarge,16,64.0,0.7661 
m5.4xlarge,16,64.0,0.7680 
m6i.4xlarge,16,64.0,0.7680 
c5d.4xlarge,16,32.0,0.7680 
r6idn.2xlarge,8,64.0,0.7816 
c4.4xlarge,16,30.0,0.7960 
m4.4xlarge,16,64.0,0.8000 
c6id.4xlarge,16,32.0,0.8064 
m7i.4xlarge,16,64.0,0.8064 
r6g.4xlarge,16,128.0,0.8064 
c7a.4xlarge,16,32.0,0.8211 
m5ad.4xlarge,16,64.0,0.8240 
g5g.4xlarge,16,32.0,0.8280 
x2iedn.xlarge,4,128.0,0.8336 
x1e.xlarge,4,122.0,0.8340 
c3.4xlarge,16,30.0,0.8400 
i2.xlarge,4,30.5,0.8530 
m7gd.4xlarge,16,64.0,0.8543 
r7g.4xlarge,16,128.0,0.8568 
c5n.4xlarge,16,42.0,0.8640 
g4ad.4xlarge,16,64.0,0.8670 
p2.xlarge,4,61.0,0.9000 
i3en.2xlarge,8,64.0,0.9040 
m5d.4xlarge,16,64.0,0.9040 
r5a.4xlarge,16,128.0,0.9040 
r6a.4xlarge,16,128.0,0.9072 
c6in.4xlarge,16,32.0,0.9072 
r6gd.4xlarge,16,128.0,0.9216 
m7a.4xlarge,16,64.0,0.9274 
h1.4xlarge,16,64.0,0.9360 
m6id.4xlarge,16,64.0,0.9492 
m5n.4xlarge,16,64.0,0.9520 
m2.4xlarge,8,68.4,0.9800 
m5zn.3xlarge,12,48.0,0.9910 
c7gn.4xlarge,16,32.0,0.9984 
d3.2xlarge,8,64.0,0.9990 
g5.xlarge,4,16.0,1.0060 
r6i.4xlarge,16,128.0,1.0080 
r5.4xlarge,16,128.0,1.0080 
r5ad.4xlarge,16,128.0,1.0480 
d3en.2xlarge,8,32.0,1.0510 
r7i.4xlarge,16,128.0,1.0584 
